programme_name,normalized_programme_name,award_level,field_category,institution_name,institution_registration_number,regulator,minimum_entry_requirements,required_subjects,suitable_for_form_four_leaver,duration,fees_if_available,study_mode,campus_location,accreditation_status_if_available,application_link,official_source_url,source_type,confidence_level,last_verified_date,notes
Ordinary Diploma in Pharmaceutical Sciences,ordinary diploma pharmaceutical sciences,ordinary diploma,health,MTWARA COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/015,NACTVET,"Holders of Certificate of Secondary Education Examination (CSEE) with At Least four (4) Passes in non-religious Subjects including Chemistry and Biology. A Pass in Basic Mathematics and English Language Is An Added Advantage. (Duration: 3 year(s); Capacity: 100; Fees: Local Fee: TSH. 1,155,400/=)",Basic Mathematics; Biology; Chemistry; English Language,yes,3,"Local Fee: TSH. 1,155,400/=",unknown,,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 100
Ordinary Diploma in Clinical Medicine,ordinary diploma clinical medicine,ordinary diploma,health,MUFO COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/258P,NACTVET,"Holders of Certificate of Secondary Education Examination (CSEE) with At Least four (4) Passes in non-religious Subjects including Chemistry, Biology and Physics/Engineering Sciences. A Pass in Basic Mathematics and English Language Is An Added Advantage. (Duration: 3 year(s); Capacity: 100; Fees: Local Fee: TSH. 1,976,000/=)",Basic Mathematics; Biology; Chemistry; Physics; Engineering Sciences; English Language,yes,3,"Local Fee: TSH. 1,976,000/=",unknown,Temeke Municipal Council - Dar es Salaam,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 100
Ordinary Diploma in Pharmaceutical Sciences,ordinary diploma pharmaceutical sciences,ordinary diploma,health,MUFO COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/258P,NACTVET,"Holders of Certificate of Secondary Education Examination (CSEE) with At Least four (4) Passes in non-religious Subjects including Chemistry and Biology. A Pass in Basic Mathematics and English Language Is An Added Advantage. (Duration: 3 year(s); Capacity: 150; Fees: Local Fee: TSH. 1,976,000/=)",Basic Mathematics; Biology; Chemistry; English Language,yes,3,"Local Fee: TSH. 1,976,000/=",unknown,Temeke Municipal Council - Dar es Salaam,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 150
Ordinary Diploma in Environmental Health Sciences,ordinary diploma environmental health sciences,ordinary diploma,health,MUHEZA COLLEGE OF HEALTH AND ALLIED SCIENCES - MUHEZA,REG/HAS/031-J,NACTVET,"Holders of Certificate of Secondary Education Examination (CSEE) with At Least four (4) Passes in non-religious Subjects including Biology Chemistry and Physics/Engineering Sciences. (Duration: 3 year(s); Capacity: 60; Fees: Local Fee: TSH. 1,255,400/=)",Biology; Chemistry; Physics; Engineering Sciences,yes,3,"Local Fee: TSH. 1,255,400/=",unknown,Muheza District Council - Tanga,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 60
Ordinary Diploma in Biomedical Engineering,ordinary diploma biomedical engineering,ordinary diploma,health,MUHIMBILI COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/101-J,NACTVET,"Holders of Certificate of Secondary Education Examinations (CSEE) with At Least four (4) Passes in Non - Religious Subjects including Physics/Engineering Science, Basic Mathematics, Chemistry and Biology; or Holder of General Certificate in Engineering; or National Vocational Award (nva) Level III or Trade Test Certificate of Grade I in The Relevant Field with Pass in Basic Mathematics (Duration: 3 year(s); Capacity: 50; Fees: Local Fee: TSH. 2,100,000/=)",Basic Mathematics; Biology; Chemistry; Physics,yes,3,"Local Fee: TSH. 2,100,000/=",unknown,Ilala Municipal Council - Dar es Salaam,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 50
Ordinary Diploma in Clinical Medicine,ordinary diploma clinical medicine,ordinary diploma,health,MUHIMBILI COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/101-J,NACTVET,"Holders of Certificate of Secondary Education Examination (CSEE) with four (4) passes in non-religious subjects including Chemistry Biology and Physics/Engineering Sciences. A pass in Basic Mathematics and English Language is an added advantage. (Duration: 3 year(s); Capacity: 200; Fees: Local Fee: TSH. 2,100,000/=)",Basic Mathematics; Biology; Chemistry; Physics; Engineering Sciences; English Language,yes,3,"Local Fee: TSH. 2,100,000/=",unknown,Ilala Municipal Council - Dar es Salaam,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 200
Ordinary Diploma in Diagnostic Radiography,ordinary diploma diagnostic radiography,ordinary diploma,health,MUHIMBILI COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/101-J,NACTVET,"Holders of Certificate of Secondary Education Examination (CSEE) with D passes in Chemistry, Biology ,Physics, Basic Mathematics and English Language. (Duration: 3 year(s); Capacity: 45; Fees: Local Fee: TSH. 2,100,000/=)",Basic Mathematics; Biology; Chemistry; Physics; English Language,yes,3,"Local Fee: TSH. 2,100,000/=",unknown,Ilala Municipal Council - Dar es Salaam,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 45
Ordinary Diploma in Information and Communication Technology,ordinary diploma information communication technology,ordinary diploma,health,MUHIMBILI COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/101-J,NACTVET,"Holders of Certificate of Secondary Education Examination (CSEE) with At Least four (4) Passes in non-religious Subjects including A Passes in Basic Mathematics and English Language (Duration: 3 year(s); Capacity: 100; Fees: Local Fee: TSH. 2,100,000/=) || Holders of Basic Technician Certificate (NTA Level 4) Information and Communication Technology or Advanced Certificate of Secondary Education Examination (ACSEE) with one Principal Pass and one Subsidiary (Duration: 2 year(s); Capacity: 100)",Basic Mathematics; English Language,yes,3; 2,"Local Fee: TSH. 2,100,000/=",unknown,Ilala Municipal Council - Dar es Salaam,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 100
Ordinary Diploma in Medical Laboratory Sciences,ordinary diploma medical laboratory sciences,ordinary diploma,health,MUHIMBILI COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/101-J,NACTVET,"Holders of Certificate of Secondary Education Examination (CSEE) with At Least four (4) Passes in non-religious Subjects including Chemistry, Biology, Physics/Engineering sciences/Basic Mathematics and English Language. (Duration: 3 year(s); Capacity: 140; Fees: Local Fee: TSH. 3,180,000/=)",Basic Mathematics; Biology; Chemistry; Physics; Engineering Sciences; English Language,yes,3,"Local Fee: TSH. 1,255,400/= ; Local Fee: TSH. 3,180,000/=",unknown,Ilala Municipal Council - Dar es Salaam,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 50 ; Admission capacity: 140
Ordinary Diploma in Nursing and Midwifery,ordinary diploma nursing midwifery,ordinary diploma,health,MUHIMBILI COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/101-J,NACTVET,"Holders of Certificate of Secondary Education Examination (CSEE) with at least four (4) passes in non-religious subjects including Chemistry, Biology and Physics/Engineering Sciences. A pass in Basic Mathematics and English Language is an added advantage. (Duration: 3 year(s); Capacity: 100; Fees: Local Fee: TSH. 2,100,000/=)",Basic Mathematics; Biology; Chemistry; Physics; Engineering Sciences; English Language,yes,3,"Local Fee: TSH. 1,255,400/= ; Local Fee: TSH. 2,100,000/= ; Local Fee: TSH. 1,700,000/=",unknown,Ilala Municipal Council - Dar es Salaam,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 50 ; Admission capacity: 100
Ordinary Diploma in Optometry,ordinary diploma optometry,ordinary diploma,health,MUHIMBILI COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/101-J,NACTVET,"Holders of Certificate of Secondary Education Examination (CSEE) with At Least four (5) Passes in non-religious Subjects including Passes in Biology, Chemistry, Basic Mathematics, Physics/Engineering Sciences and English Language. (Duration: 3 year(s); Capacity: 50; Fees: Local Fee: TSH. 3,180,000/=)",Basic Mathematics; Biology; Chemistry; Physics; Engineering Sciences; English Language,yes,3,"Local Fee: TSH. 3,180,000/=",unknown,Ilala Municipal Council - Dar es Salaam,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 50
Ordinary Diploma in Pharmaceutical Sciences,ordinary diploma pharmaceutical sciences,ordinary diploma,health,MUHIMBILI COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/101-J,NACTVET,"Holders of Certificate of Secondary Education Examination (CSEE) with At Least four (4) Passes in non-religious Subjects including Chemistry and Biology. A Pass in Basic Mathematics and English Language Is An Added Advantage. (Duration: 3 year(s); Capacity: 50; Fees: Local Fee: TSH. 1,155,400/=) || MURGWANZA INSTITUTE OF HEALTH AND ALLIED SCIENCES (REG/HAS/102N) Ngara District Council - Kagera with At Least four (4) Passes in non-religious Subjects including Chemistry, Biology and Physics/Engineering Sciences. A Pass in Basic Mathematics and English Language Is An Added Advantage. (Duration: - FBO year(s))",Basic Mathematics; Biology; Chemistry; Physics; Engineering Sciences; English Language,yes,3; - FBO,"Local Fee: TSH. 1,155,400/=",unknown,Ilala Municipal Council - Dar es Salaam,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 50
Ordinary Diploma in Pharmaceutical Sciences,ordinary diploma pharmaceutical sciences,ordinary diploma,health,MUHIMBILI COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/101-J,NACTVET,"Holders of Certificate of Secondary Education Examination (CSEE) with At Least four (4) Passes in non-religious Subjects including Chemistry and Biology. A Pass in Basic Mathematics and English Language Is An Added Advantage. Biology and Physics/Engineering Sciences. A Pass in Basic Mathematics and English Language Is An Added Advantage. (Duration: 3 year(s); Capacity: 150; Fees: Local Fee: TSH. 3,000,000/=)",Basic Mathematics; Biology; Chemistry; English Language; Physics; Engineering Sciences,yes,3,"Local Fee: TSH. 1,450,000/= ; Local Fee: TSH. 3,000,000/=",unknown,Ilala Municipal Council - Dar es Salaam,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 100 ; Admission capacity: 150
Ordinary Diploma in Social Work,ordinary diploma social work,ordinary diploma,health,MUHIMBILI COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/101-J,NACTVET,"Holders of Certificate of Secondary Education Examination (CSEE) with At Least four (4) Passes in non-religious Subjects (Duration: 3 year(s); Capacity: 60; Fees: Local Fee: TSH. 1,000,000/=) || Holders of Basic Technician Certificate (NTA Level 4) in Social Work Gender, Community Development, Youth Work or Advanced Certificate of Secondary Education Examination (ACSEE) with At Least one Principal Pass and one Subsidiary in Principal Subjects (Duration: 2 year(s); Capacity: 60) || MVUMI INSTITUTE OF HEALTH SCIENCES (REG/HAS/011) Chamwino District Council - Dodoma (Duration: - FBO year(s))",,yes,3; 2; - FBO,"Local Fee: TSH. 1,000,000/=",unknown,Ilala Municipal Council - Dar es Salaam,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 60
Ordinary Diploma in Business Administration,ordinary diploma business administration,ordinary diploma,business,MUSLIM UNIVERSITY OF MOROGORO,U/TLF/03,NACTVET,"Holders of Certificate of Secondary Education Examination (CSEE) with (Duration: 3 year(s); Capacity: 150; Fees: Local Fee: TSH. 920,000/=) || at least four (4) passes in non-religious subjects OR National Vocational Award (NVA)Level III with a Certificate of Secondary Education Examination (CSEE) Holders of Basic Technician Certificate (NTA Level 4) in Business Administration, Account, Finance and Banking, Marketing Procurement and Supply OR Advanced Certificate of Secondary Education Examination (ACSEE) with at least one Principal pass and one Subsidiary in Principal subjects (Duration: 2 year(s); Capacity: 150; Fees: Foreigner Fee: USD 920/=)",,yes,3; 2,"Local Fee: TSH. 920,000/= || Foreigner Fee: USD 920/=",unknown,Morogoro District Council - Morogoro,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 150
Ordinary Diploma in Journalism,ordinary diploma journalism,ordinary diploma,media,MUSLIM UNIVERSITY OF MOROGORO,U/TLF/03,NACTVET,"Holders of Certificate of Secondary Education Examination (CSEE) with (Duration: 3 year(s); Capacity: 100; Fees: Local Fee: TSH. 1,000,000/=) || at least four (4) passes in non-religious subjects OR National Vocational Award (NVA) Level III with a Certificate of Secondary Education Examination (CSEE) Holders of Basic Technician Certificate (NTA Level 4) in Journalism Mass Communication, TV Production, Media Production OR Advanced Certificate of Secondary Education Examination (ACSEE) with at least one Principal pass and one Subsidiary in Principal subjects (Duration: 2 year(s); Capacity: 60; Fees: Foreigner Fee: USD 1,000/=)",,yes,3; 2,"Local Fee: TSH. 1,000,000/= || Foreigner Fee: USD 1,000/=",unknown,Morogoro District Council - Morogoro,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 100; 60
Ordinary Diploma in Medical Laboratory Sciences,ordinary diploma medical laboratory sciences,ordinary diploma,health,MUSLIM UNIVERSITY OF MOROGORO,U/TLF/03,NACTVET,"Holders of Certificate of Secondary Education Examination (CSEE) with At Least four (4) Passes in non-religious Subjects including Chemistry Biology, Physics/Engineering sciences/Basic Mathematics and English Language. (Duration: 3 year(s); Capacity: 100; Fees: Local Fee: TSH. 2,200,000/= Foreigner Fee: USD 2,200/=)",Basic Mathematics; Biology; Chemistry; Physics; Engineering Sciences; English Language,yes,3,"Local Fee: TSH. 2,200,000/= Foreigner Fee: USD 2,200/=",unknown,Morogoro District Council - Morogoro,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 100
Ordinary Diploma in Science and Laboratory,ordinary diploma science laboratory,ordinary diploma,health,MUSLIM UNIVERSITY OF MOROGORO,U/TLF/03,NACTVET,"Holders of Certificate of Secondary Education Examination (CSEE) with Four (4) passes in non-religious subjects including Two (2) Passes in Biology, Chemistry, Physics/Engineering Sciences. Holders of Certificate of Secondary Education Examination (CSEE) with Four (4) Passes in non-religious Subjects including two (2) Passes in Biology, Chemistry, Physics/Engineering Sciences; and Possession of Basic Technician Certificate (NTA Level 4) in Science and Laboratory Technology; OR Advanced Certificate of Secondary Education Examination (ACSEE) with one (1) Principal Pass and one (1) Subsidiary Pass in Biology, Chemistry, Physics, Advanced Mathematics. (Duration: 3 year(s); Capacity: 250; Fees: Local Fee: TSH. 1,200,000/= Foreigner Fee: USD 1,200/=)",Advanced Mathematics; Biology; Chemistry; Physics; Engineering Sciences,yes,3,"Local Fee: TSH. 1,200,000/= Foreigner Fee: USD 1,200/=",unknown,Morogoro District Council - Morogoro,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 250
Diploma in Islamic Banking and Finance,diploma islamic banking finance,unknown,accounting,MUSLIM UNIVERSITY OF MOROGORO,U/TLF/03,NACTVET,"Holders of Certificate in Islamic Banking and Finance OR Advanced Certificate of Secondary Education Examination (ACSEE) with at least one Principal pass and one Subsidiary in Principal subjects (Duration: 2 year(s); Capacity: 100; Fees: Local Fee: TSH. 1,000,000/= Foreigner Fee: USD 1,000/=)",,yes,2,"Local Fee: TSH. 1,000,000/= Foreigner Fee: USD 1,000/=",unknown,Morogoro District Council - Morogoro,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 100
Diploma in Law and Shariah,diploma law shariah,unknown,law,MUSLIM UNIVERSITY OF MOROGORO,U/TLF/03,NACTVET,"Holders of Certificate in Law and Shariah OR Advanced Certificate of Secondary Education Examination (ACSEE) with at least one Principal pass and one Subsidiary in Principal subjects (Duration: 2 year(s); Capacity: 100; Fees: Local Fee: TSH. 1,000,000/= Foreigner Fee: USD 1,000/=)",Law,yes,2,"Local Fee: TSH. 1,000,000/= Foreigner Fee: USD 1,000/=",unknown,Morogoro District Council - Morogoro,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 100
Diploma in Procurement and Logistics,diploma procurement logistics,unknown,procurement,MUSLIM UNIVERSITY OF MOROGORO,U/TLF/03,NACTVET,"Holders of Certificate in Procurement and Supply,Logistics,Purchasing and Inventory OR Advanced Certificate of Secondary Education Examination (ACSEE) with at least one Principal pass and one Subsidiary in Principal subjects one Principal pass and one Subsidiary in Principal subjects (Duration: 2 year(s); Capacity: 100; Fees: Local Fee: TSH. 1,000,000/= Foreigner Fee: USD 1,000/=)",,yes,2,"Local Fee: TSH. 1,000,000/= Foreigner Fee: USD 1,000/=",unknown,Morogoro District Council - Morogoro,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 100
Ordinary Diploma in Accountancy,ordinary diploma accountancy,ordinary diploma,accounting,MWANZA BAPTIST INSTITUTE,REG/BTP/112,NACTVET,"Holder of Certificate of Secondary Education (CSEE) with Four Passes in non-religious Subjects including Pass in Basic Mathematics (Duration: 3 year(s); Capacity: 50; Fees: Local Fee: TSH. 670,000/=) || Holder of Certificate of secondary education (CSEE) with Four passes in non- religious subjects including a pass in Basic Mathematics and Also should possess Basic Technician certificate (NTA 5) in Accountancy . (Duration: 2 year(s); Capacity: 50)",Basic Mathematics; Accountancy,yes,3; 2,"Local Fee: TSH. 670,000/=",unknown,Nyamagana Municipal Council - Mwanza,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 50
Ordinary Diploma in Business Administration,ordinary diploma business administration,ordinary diploma,business,MWANZA BAPTIST INSTITUTE,REG/BTP/112,NACTVET,"Holder of Certificate of Secondary Education Examination (CSEE) with At Least four (4) Passes ' D' in non-religious Subjects (Duration: 3 year(s); Capacity: 50; Fees: Local Fee: TSH. 670,000/=) || Holders of Basic Technician Certificate (NTA Level 4) in Business Administration, Marketing OR Advanced Certificate of Secondary Education Examination (ACSEE) with at Least one principal pass and one Subsidiary in principal subjects. (Duration: 2 year(s); Capacity: 50)",,yes,3; 2,"Local Fee: TSH. 670,000/=",unknown,Nyamagana Municipal Council - Mwanza,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 50
Ordinary Diploma in Community Development,ordinary diploma community development,ordinary diploma,community development,MWANZA BAPTIST INSTITUTE,REG/BTP/112,NACTVET,"Holder of certificate of secondary education examination (CSEE) with Four passes ""D"" in non religious subjects OR Holder of certificate of secondary education examination (CSEE) in non religious subjects and Holder of National Vocation Award (NVA) level III (Duration: 3 year(s); Capacity: 50; Fees: Local Fee: TSH. 670,000/=) || Holders of certificate of Secondary Education Examination (CSEE) with Four (4) passes in non-religious subjects AND Basic Technician Certificate in Community Development with at least GPA of 2.0 OR Holders of Advanced Certificate of Secondary Education Examination (ACSEE) with at least one Principal pass and one subsidiary pass (Duration: 2 year(s); Capacity: 50)",,yes,3; 2,"Local Fee: TSH. 670,000/=",unknown,Nyamagana Municipal Council - Mwanza,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 50
Ordinary Diploma in Health Information Sciences,ordinary diploma health information sciences,ordinary diploma,health,MWANZA COLLEGE OF HEALTH AND ALLIED SCIENCES - MWANZA,REG/HAS/075-J,NACTVET,"Holders of Certificate of Secondary Education Examination (CSEE) with At Least four (4) Passes in non-religious Subjects including Biology, Basic Mathematics and English Language. (Duration: 3 year(s); Capacity: 24; Fees: Local Fee: TSH. 1,155,400/=)",Basic Mathematics; Biology; English Language,yes,3,"Local Fee: TSH. 1,155,400/=",unknown,Nyamagana Municipal Council - Mwanza,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 24
Ordinary Diploma in Nursing and Midwifery,ordinary diploma nursing midwifery,ordinary diploma,health,MWANZA COLLEGE OF HEALTH AND ALLIED SCIENCES - MWANZA,REG/HAS/075-J,NACTVET,"Holders of Certificate of Secondary Education Examination (CSEE) with at least four (4) passes in non-religious subjects including Chemistry, Biology and Physics/Engineering Sciences. A pass in Basic Mathematics and English Language is an added advantage. (Duration: 3 year(s); Capacity: 24; Fees: Local Fee: TSH. 1,255,400/=)",Basic Mathematics; Biology; Chemistry; Physics; Engineering Sciences; English Language,yes,3,"Local Fee: TSH. 1,255,400/=",unknown,Nyamagana Municipal Council - Mwanza,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 24
Ordinary Diploma in Pharmaceutical Sciences,ordinary diploma pharmaceutical sciences,ordinary diploma,health,MWANZA COLLEGE OF HEALTH AND ALLIED SCIENCES - MWANZA,REG/HAS/075-J,NACTVET,"Holders of Certificate of Secondary Education Examination (CSEE) with At Least four (4) Passes in non-religious Subjects including Chemistry and Biology. A Pass in Basic Mathematics and English Language Is An Added Advantage. (Duration: 3 year(s); Capacity: 60; Fees: Local Fee: TSH. 1,255,400/=)",Basic Mathematics; Biology; Chemistry; English Language,yes,3,"Local Fee: TSH. 1,255,400/=",unknown,Nyamagana Municipal Council - Mwanza,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 60
Ordinary Diploma in Physiotherapy,ordinary diploma physiotherapy,ordinary diploma,health,MWANZA COLLEGE OF HEALTH AND ALLIED SCIENCES - MWANZA,REG/HAS/075-J,NACTVET,"Holders of Certificate of Secondary Education Examination (CSEE) with at least four (4) passes in non-religious subjects including Chemistry, Biology and Physics/Engineering Sciences. (Duration: 3 year(s); Capacity: 28; Fees: Local Fee: TSH. 1,300,000/=)",Biology; Chemistry; Physics; Engineering Sciences,yes,3,"Local Fee: TSH. 1,300,000/=",unknown,Nyamagana Municipal Council - Mwanza,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 28
Ordinary Diploma in Education Management and,ordinary diploma education management,ordinary diploma,business,MWANZA POLYTECHNIC INSTITUTE - MASWA,REG/PWF/051,NACTVET,"A Holder of Certificate of Secondary Education Examinations with (Duration: 2 year(s); Capacity: 190; Fees: Local Fee: TSH. 600,000/=)",,yes,2,"Local Fee: TSH. 600,000/=",unknown,"Administration four Passes, Holder of Grade III A Teachers Certificate with two Years Working Experience, Holder of Any Certificate NTA Level 4 from Any Recognized Technical Training Institution and Holder of Form Vi Certificate with At Least three Subsidiaries with At Least four (4) Passes in non-religious Subjects including Chemistry and Biology. A Pass in Basic Mathematics and English Language Is An Added Advantage.",,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 190
Ordinary Diploma in Pharmaceutical Sciences,ordinary diploma pharmaceutical sciences,ordinary diploma,health,MWANZA POLYTECHNIC INSTITUTE - MASWA,REG/PWF/051,NACTVET,"Holders of Certificate of Secondary Education Examination (CSEE) (Duration: 3 year(s); Capacity: 50; Fees: Local Fee: TSH. 2,500,000/=)",,yes,3,"Local Fee: TSH. 2,500,000/=",unknown,"Administration four Passes, Holder of Grade III A Teachers Certificate with two Years Working Experience, Holder of Any Certificate NTA Level 4 from Any Recognized Technical Training Institution and Holder of Form Vi Certificate with At Least three Subsidiaries",,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 50
Bachelor Human Resources Management,bachelor human resources management,degree,business,MWENGE CATHOLIC UNIVERSITY,U/SAT/20 AND U/BTP/20,TCU,"Two principal passes in the following subjects: History Geography, Kiswahili, English Language, French Arabic, Fine Arts, Economics, Commerce, Accountancy Physics, Chemistry, Biology, Advanced Mathematics Agriculture, Computer Science or Nutrition and one subsidiary at A-Level.",Advanced Mathematics; Biology; Chemistry; Physics; English Language; Geography; History; Kiswahili; Arabic; French; Commerce; Accountancy; Economics; Computer Science; Nutrition; Agriculture; Fine Arts,no,3,,full-time,Kilimanjaro,,,https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,medium,2026-04-24,Programme code: MU013; TCU minimum admission points: 4.5; Admission capacity: 126 || Parsed from TCU admission guidebook PDF layout; verify line-break-sensitive rows before public launch.
Bachelor of Accounting and Finance,bachelor accounting finance,degree,accounting,MWENGE CATHOLIC UNIVERSITY,U/SAT/20 AND U/BTP/20,TCU,"Two principal passes in the following subjects: History, Geography, Economics, Commerce Accountancy, Physics, Chemistry, Biology or Advanced Mathematics. In addition, an applicant must have at least a subsidiary level pass in Advanced Mathematics or Basic Applied Mathematics at A-level or a minimum of “D” grade in Basic Mathematics and a minimum of ‘D’ grade in English Language at O-Level or a pass in English/English Literature, Commerce, Computer Economics, Accountancy",Basic Mathematics; Advanced Mathematics; Biology; Chemistry; Physics; English Language; Geography; History; Literature; Commerce; Accountancy; Economics,no,3,,full-time,Kilimanjaro,,,https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,medium,2026-04-24,Programme code: MW014; TCU minimum admission points: 4.0; Admission capacity: 350 || Parsed from TCU admission guidebook PDF layout; verify line-break-sensitive rows before public launch.
