institution_name,normalized_institution_name,abbreviation_or_aliases,registration_number,regulator,accreditation_status,ownership_type,institution_type,region,district_or_council,campus_name,physical_location,mainland_or_zanzibar,website,admissions_url,application_url,phone_numbers,email,logo_url,logo_source_url,logo_status,official_source_url,source_type,confidence_level,last_verified_date,notes,needs_review,review_reasons
Mbeya University of Science and Technology (MUST)– Rukwa Campus College,mbeya science technology must rukwa campus,MUST,,TCU,listed in TCU 2025/2026 admission guidebook,,Higher Education Institution,,,,,Mainland,,,,,,,,missing,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf; https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU 2025/2026 Bachelor degree admission guidebook - secondary school qualifications; TCU 2025/2026 Bachelor degree admission guidebook - ordinary diploma/equivalent qualifications,high,2026-04-26,Institution/programmes extracted from official TCU guidebook. Ownership is blank unless found in enrichment map.,no,
Mkwawa University College of Education (MUCE),mkwawa education muce,MUCE,,TCU,listed in TCU 2025/2026 admission guidebook,,Higher Education Institution,Iringa,,,,Mainland,,,,,,,,missing,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf; https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU 2025/2026 Bachelor degree admission guidebook - secondary school qualifications; TCU 2025/2026 Bachelor degree admission guidebook - ordinary diploma/equivalent qualifications,high,2026-04-26,Institution/programmes extracted from official TCU guidebook. Ownership is blank unless found in enrichment map.,no,
Moshi Co-operative University (MoCU),moshi co operative mocu,MoCU,,TCU,listed in TCU 2025/2026 admission guidebook,,Higher Education Institution,Kilimanjaro,,,,Mainland,,,,,,,,missing,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf; https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU 2025/2026 Bachelor degree admission guidebook - secondary school qualifications; TCU 2025/2026 Bachelor degree admission guidebook - ordinary diploma/equivalent qualifications,high,2026-04-26,Institution/programmes extracted from official TCU guidebook. Ownership is blank unless found in enrichment map.,no,
MS Training Centre for Development Cooperation,ms training development cooperation,,,TCU,listed in TCU 2025/2026 admission guidebook,,Higher Education Institution,Arusha,,,,Mainland,,,,,,,,missing,https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU 2025/2026 Bachelor degree admission guidebook - ordinary diploma/equivalent qualifications,high,2026-04-26,Institution/programmes extracted from official TCU guidebook. Ownership is blank unless found in enrichment map.,no,
MS Training Centre for Development Cooperation (MS-TCDC),ms training development cooperation ms tcdc,MS-TCDC,,TCU,listed in TCU 2025/2026 admission guidebook,,Higher Education Institution,Arusha,,,,Mainland,,,,,,,,missing,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf,TCU 2025/2026 Bachelor degree admission guidebook - secondary school qualifications,high,2026-04-26,Institution/programmes extracted from official TCU guidebook. Ownership is blank unless found in enrichment map.,no,
Muhimbili University of Health and Allied Sciences (MUHAS),muhimbili health allied sciences muhas,MUHAS,,TCU,listed in TCU 2025/2026 admission guidebook,,Higher Education Institution,Dar es Salaam,,,,Mainland,,,,,,,,missing,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf; https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU 2025/2026 Bachelor degree admission guidebook - secondary school qualifications; TCU 2025/2026 Bachelor degree admission guidebook - ordinary diploma/equivalent qualifications,high,2026-04-26,Institution/programmes extracted from official TCU guidebook. Ownership is blank unless found in enrichment map.,no,
Muslim University of Morogoro (MUM),muslim morogoro mum,MUM,,TCU,listed in TCU 2025/2026 admission guidebook,,Higher Education Institution,Morogoro..............................................................140,,,,Mainland,,,,,,,,missing,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf; https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU 2025/2026 Bachelor degree admission guidebook - secondary school qualifications; TCU 2025/2026 Bachelor degree admission guidebook - ordinary diploma/equivalent qualifications,high,2026-04-26,Institution/programmes extracted from official TCU guidebook. Ownership is blank unless found in enrichment map.,no,
Mwalimu Nyerere University of Agriculture and Technology (MNUAT),mwalimu nyerere agriculture technology mnuat,MNUAT,,TCU,listed in TCU 2025/2026 admission guidebook,,Higher Education Institution,Musoma,,,,Mainland,,,,,,,,missing,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf; https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU 2025/2026 Bachelor degree admission guidebook - secondary school qualifications; TCU 2025/2026 Bachelor degree admission guidebook - ordinary diploma/equivalent qualifications,high,2026-04-26,Institution/programmes extracted from official TCU guidebook. Ownership is blank unless found in enrichment map.,no,
Mwalimu Nyerere Memorial Academy (MNMA),mwalimu nyerere memorial academy mnma,MNMA,,TCU,listed in TCU 2025/2026 admission guidebook,,Higher Education Institution,Dar es Salaam,,,,Mainland,,,,,,,,missing,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf; https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU 2025/2026 Bachelor degree admission guidebook - secondary school qualifications; TCU 2025/2026 Bachelor degree admission guidebook - ordinary diploma/equivalent qualifications,high,2026-04-26,Institution/programmes extracted from official TCU guidebook. Ownership is blank unless found in enrichment map.,no,
Mwalimu Nyerere Memorial Academy (MNMA) - Pemba Campus,mwalimu nyerere memorial academy mnma pemba campus,MNMA,,TCU,listed in TCU 2025/2026 admission guidebook,,Higher Education Institution,,,,,Zanzibar,,,,,,,,missing,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf; https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU 2025/2026 Bachelor degree admission guidebook - secondary school qualifications; TCU 2025/2026 Bachelor degree admission guidebook - ordinary diploma/equivalent qualifications,high,2026-04-26,Institution/programmes extracted from official TCU guidebook. Ownership is blank unless found in enrichment map.,no,
