programme_name,normalized_programme_name,programme_code,award_level,qualification_level,pathway_type,field_category,course_family,institution_name,normalized_institution_name,campus_name,regulator,institution_type,ownership_type,region,district_or_council,duration,study_mode,admission_capacity,fees_if_available,fee_band,application_method,official_source_url,source_type,confidence_level,last_verified_date,notes,needs_review,review_reasons
Ordinary Diploma in Banking and Finance,ordinary diploma in banking and finance,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Accounting & Finance,COLLEGE OF BUSINESS EDUCATION - DODOMA,business education dodoma,,NACTVET,Technical Institution,Government,Dodoma,Dodoma Municipal Council,3; 2,,150,"Local Fee: TSH. 1,300,000/=",1.0m-1.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Business Administration,ordinary diploma in business administration,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Business & Management,COLLEGE OF BUSINESS EDUCATION - DODOMA,business education dodoma,,NACTVET,Technical Institution,Government,Dodoma,Dodoma Municipal Council,3; 2,,400,"Local Fee: TSH. 1,300,000/= , Foreigner Fee: USD 1,472/=",1.0m-1.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Human Resource Management,ordinary diploma in human resource management,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Business & Management,COLLEGE OF BUSINESS EDUCATION - DODOMA,business education dodoma,,NACTVET,Technical Institution,Government,Dodoma,Dodoma Municipal Council,3; 2,,300,"Local Fee: TSH. 1,300,000/=",1.0m-1.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Information and Communication Technology,ordinary diploma in information and communication technology,,Ordinary Diploma,NTA Level 6,diploma,"Arts, Media & Communication",Arts & Communication,COLLEGE OF BUSINESS EDUCATION - DODOMA,business education dodoma,,NACTVET,Technical Institution,Government,Dodoma,Dodoma Municipal Council,3; 2,,150; 100,"Local Fee: TSH. 1,410,000/= , Foreigner Fee: USD 1,764/=",1.0m-1.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Logistics and Transport Management,ordinary diploma in logistics and transport management,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Business & Management,COLLEGE OF BUSINESS EDUCATION - DODOMA,business education dodoma,,NACTVET,Technical Institution,Government,Dodoma,Dodoma Municipal Council,3; 2,,100,"Local Fee: TSH. 1,300,000/=",1.0m-1.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Marketing in Tourism and Event Management,ordinary diploma in marketing in tourism and event management,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Business & Management,COLLEGE OF BUSINESS EDUCATION - DODOMA,business education dodoma,,NACTVET,Technical Institution,Government,Dodoma,Dodoma Municipal Council,3; 2,,100,"Local Fee: TSH. 1,300,000/=",1.0m-1.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Marketing Management,ordinary diploma in marketing management,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Business & Management,COLLEGE OF BUSINESS EDUCATION - DODOMA,business education dodoma,,NACTVET,Technical Institution,Government,Dodoma,Dodoma Municipal Council,3; 2,,200,"Local Fee: TSH. 1,300,000/= , Foreigner Fee: USD 1,472/=",1.0m-1.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Metrology and Standardization,ordinary diploma in metrology and standardization,,Ordinary Diploma,NTA Level 6,diploma,Other / Needs Classification,Other,COLLEGE OF BUSINESS EDUCATION - DODOMA,business education dodoma,,NACTVET,Technical Institution,Government,Dodoma,Dodoma Municipal Council,3; 2,,100,"Local Fee: TSH. 1,410,000/= , Foreigner Fee: USD 1,764/=",1.0m-1.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Procurement and Supplies Management,ordinary diploma in procurement and supplies management,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Business & Management,COLLEGE OF BUSINESS EDUCATION - DODOMA,business education dodoma,,NACTVET,Technical Institution,Government,Dodoma,Dodoma Municipal Council,3; 2,,500,"Local Fee: TSH. 1,550,000/= , Foreigner Fee: USD 1,472/=",1.5m-2.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
"Ordinary Diploma in Records, Archives and Information Management",ordinary diploma in records archives and information management,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Business & Management,COLLEGE OF BUSINESS EDUCATION - DODOMA,business education dodoma,,NACTVET,Technical Institution,Government,Dodoma,Dodoma Municipal Council,3; 2,,300,"Local Fee: TSH. 1,300,000/=",1.0m-1.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Accountancy,ordinary diploma in accountancy,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Accounting & Finance,COLLEGE OF BUSINESS EDUCATION - MBEYA CAMPUS,business education mbeya campus,,NACTVET,Technical Institution,Government,Mbeya,Mbeya City Council,3; 2,,160,"Local Fee: TSH. 1,310,000/= , Foreigner Fee: USD 1,472/=",1.0m-1.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Business Administration,ordinary diploma in business administration,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Business & Management,COLLEGE OF BUSINESS EDUCATION - MBEYA CAMPUS,business education mbeya campus,,NACTVET,Technical Institution,Government,Mbeya,Mbeya City Council,3; 2,,160,"Local Fee: TSH. 1,310,000/= , Foreigner Fee: USD 1,472/=",1.0m-1.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Marketing,ordinary diploma in marketing,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Business & Management,COLLEGE OF BUSINESS EDUCATION - MBEYA CAMPUS,business education mbeya campus,,NACTVET,Technical Institution,Government,Mbeya,Mbeya City Council,3; 2,,160,"Local Fee: TSH. 1,310,000/= , Foreigner Fee: USD 1,472/=",1.0m-1.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Procurement and Supplies Management,ordinary diploma in procurement and supplies management,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Business & Management,COLLEGE OF BUSINESS EDUCATION - MBEYA CAMPUS,business education mbeya campus,,NACTVET,Technical Institution,Government,Mbeya,Mbeya City Council,3; 2,,160,"Local Fee: TSH. 1,310,000/= , Foreigner Fee: USD 1,472/=",1.0m-1.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Accountancy,ordinary diploma in accountancy,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Accounting & Finance,COLLEGE OF BUSINESS EDUCATION - MWANZA,business education mwanza,,NACTVET,Technical Institution,Government,Mwanza,Ilemela Municipal Council,3; 2,,200; 120,"Local Fee: TSH. 1,300,000/= , Foreigner Fee: USD 564/=",1.0m-1.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Accountancy and Finance,ordinary diploma in accountancy and finance,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Accounting & Finance,COLLEGE OF BUSINESS EDUCATION - MWANZA,business education mwanza,,NACTVET,Technical Institution,Government,Mwanza,Ilemela Municipal Council,3; 2,,200; 150,"Local Fee: TSH. 1,310,000/= , Foreigner Fee: USD 1,472/=",1.0m-1.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Accountancy and Taxation,ordinary diploma in accountancy and taxation,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Accounting & Finance,COLLEGE OF BUSINESS EDUCATION - MWANZA,business education mwanza,,NACTVET,Technical Institution,Government,Mwanza,Ilemela Municipal Council,3; 2,,200,"Local Fee: TSH. 1,310,000/= , Foreigner Fee: USD 1,472/=",1.0m-1.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Business Administration,ordinary diploma in business administration,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Business & Management,COLLEGE OF BUSINESS EDUCATION - MWANZA,business education mwanza,,NACTVET,Technical Institution,Government,Mwanza,Ilemela Municipal Council,3; 2,,300; 120,"Local Fee: TSH. 1,300,000/= , Foreigner Fee: USD 564/=",1.0m-1.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Business Administration in Human Resource Management,ordinary diploma in business administration in human resource management,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Business & Management,COLLEGE OF BUSINESS EDUCATION - MWANZA,business education mwanza,,NACTVET,Technical Institution,Government,Mwanza,Ilemela Municipal Council,3; 2,,250; 200,"Local Fee: TSH. 1,310,000/= , Foreigner Fee: USD 1,472/=",1.0m-1.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Digital Marketing,ordinary diploma in digital marketing,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Business & Management,COLLEGE OF BUSINESS EDUCATION - MWANZA,business education mwanza,,NACTVET,Technical Institution,Government,Mwanza,Ilemela Municipal Council,3; 2,,200; 150,"Local Fee: TSH. 1,310,000/= , Foreigner Fee: USD 1,472/=",1.0m-1.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Information Technology,ordinary diploma in information technology,,Ordinary Diploma,NTA Level 6,diploma,ICT & Computing,ICT,COLLEGE OF BUSINESS EDUCATION - MWANZA,business education mwanza,,NACTVET,Technical Institution,Government,Mwanza,Ilemela Municipal Council,3; 2,,200; 100,"Local Fee: TSH. 1,410,600/=",1.0m-1.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Marketing,ordinary diploma in marketing,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Business & Management,COLLEGE OF BUSINESS EDUCATION - MWANZA,business education mwanza,,NACTVET,Technical Institution,Government,Mwanza,Ilemela Municipal Council,3; 2,,200; 150,"Local Fee: TSH. 1,300,000/= , Foreigner Fee: USD 564/=",1.0m-1.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Marketing in Tourism and Event Management,ordinary diploma in marketing in tourism and event management,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Business & Management,COLLEGE OF BUSINESS EDUCATION - MWANZA,business education mwanza,,NACTVET,Technical Institution,Government,Mwanza,Ilemela Municipal Council,3; 2,,200,"Local Fee: TSH. 1,310,000/=",1.0m-1.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Procurement and Supply,ordinary diploma in procurement and supply,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Business & Management,COLLEGE OF BUSINESS EDUCATION - MWANZA,business education mwanza,,NACTVET,Technical Institution,Government,Mwanza,Ilemela Municipal Council,3; 2,,200; 130,"Local Fee: TSH. 1,300,000/= , Foreigner Fee: USD 564/=",1.0m-1.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Transport and Logistics Management,ordinary diploma in transport and logistics management,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Business & Management,COLLEGE OF BUSINESS EDUCATION - MWANZA,business education mwanza,,NACTVET,Technical Institution,Government,Mwanza,Ilemela Municipal Council,3; 2,,100,"Local Fee: TSH. 1,310,000/=",1.0m-1.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Clinical Medicine,ordinary diploma in clinical medicine,,Ordinary Diploma,NTA Level 6,diploma,Health & Allied Sciences,Medicine & Clinical Health,BWIMA INSTITUTE OF HEALTH AND ALLIED SCIENCES,bwima health allied sciences,,NACTVET,Technical Institution,Private,Mwanza,Ilemela Municipal Council,3,,100,"Local Fee: TSH. 1,700,000/=",1.5m-2.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Diagnostic Radiography,ordinary diploma in diagnostic radiography,,Ordinary Diploma,NTA Level 6,diploma,Other / Needs Classification,Other,BWIMA INSTITUTE OF HEALTH AND ALLIED SCIENCES,bwima health allied sciences,,NACTVET,Technical Institution,Private,Mwanza,Ilemela Municipal Council,3,,100,"Local Fee: TSH. 1,700,000/=",1.5m-2.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Pharmaceutical Sciences,ordinary diploma in pharmaceutical sciences,,Ordinary Diploma,NTA Level 6,diploma,Health & Allied Sciences,Other,BWIMA INSTITUTE OF HEALTH AND ALLIED SCIENCES,bwima health allied sciences,,NACTVET,Technical Institution,Private,Mwanza,Ilemela Municipal Council,3,,200,"Local Fee: TSH. 1,700,000/=",1.5m-2.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Social Work,ordinary diploma in social work,,Ordinary Diploma,NTA Level 6,diploma,Social Sciences & Community Development,Social Work & Community Development,BWIMA INSTITUTE OF HEALTH AND ALLIED SCIENCES,bwima health allied sciences,,NACTVET,Technical Institution,Private,Mwanza,Ilemela Municipal Council,3; 2,,200,"Local Fee: TSH. 1,500,000/=",1.5m-2.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Accountancy,ordinary diploma in accountancy,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Accounting & Finance,CARDINAL RUGAMBWA MEMORIAL COLLEGE,cardinal rugambwa memorial,,NACTVET,Technical Institution,FBO,Kagera,Bukoba Municipal Council,3; 2,,100,"Local Fee: TSH. 1,100,000/=",1.0m-1.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Business Administration,ordinary diploma in business administration,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Business & Management,CARDINAL RUGAMBWA MEMORIAL COLLEGE,cardinal rugambwa memorial,,NACTVET,Technical Institution,FBO,Kagera,Bukoba Municipal Council,3; 2,,100,"Local Fee: TSH. 1,100,000/=",1.0m-1.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Community Development,ordinary diploma in community development,,Ordinary Diploma,NTA Level 6,diploma,"Planning, Built Environment & Land",Social Work & Community Development,CARDINAL RUGAMBWA MEMORIAL COLLEGE,cardinal rugambwa memorial,,NACTVET,Technical Institution,FBO,Kagera,Bukoba Municipal Council,3; 2,,150,"Local Fee: TSH. 9,600,000/=",2.5m+ TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Education Management and Planning,ordinary diploma in education management and planning,,Ordinary Diploma,NTA Level 6,diploma,Education,Business & Management,CARDINAL RUGAMBWA MEMORIAL COLLEGE,cardinal rugambwa memorial,,NACTVET,Technical Institution,FBO,Kagera,Bukoba Municipal Council,3; 2,,200,"Local Fee: TSH. 900,000/= , Foreigner Fee: USD 344/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Information and Communication Technology,ordinary diploma in information and communication technology,,Ordinary Diploma,NTA Level 6,diploma,"Arts, Media & Communication",Arts & Communication,CARDINAL RUGAMBWA MEMORIAL COLLEGE,cardinal rugambwa memorial,,NACTVET,Technical Institution,FBO,Kagera,Bukoba Municipal Council,3; 2,,150,"Local Fee: TSH. 960,000/= , Foreigner Fee: USD 345/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Law,ordinary diploma in law,,Ordinary Diploma,NTA Level 6,diploma,Law & Public Administration,Law,CARDINAL RUGAMBWA MEMORIAL COLLEGE,cardinal rugambwa memorial,,NACTVET,Technical Institution,FBO,Kagera,Bukoba Municipal Council,3; 2,,100,"Local Fee: TSH. 1,160,000/=",1.0m-1.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Procurement and Supply,ordinary diploma in procurement and supply,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Business & Management,CARDINAL RUGAMBWA MEMORIAL COLLEGE,cardinal rugambwa memorial,,NACTVET,Technical Institution,FBO,Kagera,Bukoba Municipal Council,3; 2,,100,"Local Fee: TSH. 1,100,000/=",1.0m-1.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Diploma in Diagnostic Radiography,diploma in diagnostic radiography,,Diploma,NTA Level 6,diploma,Other / Needs Classification,Other,CATHOLIC UNIVERSITY OF HEALTH AND ALLIED SCIENCES (CUHAS),catholic health allied sciences cuhas,,NACTVET,University offering NTA programmes,FBO,Mwanza,Nyamagana Municipal Council,2,,120,"Local Fee: TSH. 1,650,000/=",1.5m-2.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET admission guidebook 2025/2026 - universities offering certificate/diploma programmes,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Diploma in Accountancy,diploma in accountancy,,Diploma,NTA Level 6,diploma,"Business, Finance & Management",Accounting & Finance,CATHOLIC UNIVERSITY COLLEGE OF MBEYA,catholic mbeya,,NACTVET,University offering NTA programmes,FBO,Mbeya,Mbeya City Council,2,,200,"Local Fee: TSH. 1,200,000/=",1.0m-1.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET admission guidebook 2025/2026 - universities offering certificate/diploma programmes,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Diploma in Business Administration,diploma in business administration,,Diploma,NTA Level 6,diploma,"Business, Finance & Management",Business & Management,CATHOLIC UNIVERSITY COLLEGE OF MBEYA,catholic mbeya,,NACTVET,University offering NTA programmes,FBO,Mbeya,Mbeya City Council,2,,200,"Local Fee: TSH. 1,321,000/=",1.0m-1.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET admission guidebook 2025/2026 - universities offering certificate/diploma programmes,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Diploma in Community Development,diploma in community development,,Diploma,NTA Level 6,diploma,"Planning, Built Environment & Land",Social Work & Community Development,CATHOLIC UNIVERSITY COLLEGE OF MBEYA,catholic mbeya,,NACTVET,University offering NTA programmes,FBO,Mbeya,Mbeya City Council,2,,200,"Local Fee: TSH. 1,321,000/=",1.0m-1.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET admission guidebook 2025/2026 - universities offering certificate/diploma programmes,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
